Date,AUDUSD=X,CAD=X,CHF=X,CL=F,EURUSD=X,GBPUSD=X,GC=F,JPY=X,^GSPC,^TNX
2020-01-03,-0.004901610503345292,0.0007705707937058183,0.0038170139747022904,0.030107706599462162,-0.004411210053900827,-0.0073927880950686005,0.016072149694003442,-0.0015649575267829463,-0.007084909364954553,-0.05123735513023524
2020-01-06,-0.00588517220479046,0.00027725652097655983,0.0002882848672068921,0.003483240083493363,-0.0008486965705175967,-0.0055351325323139515,0.010913635018349008,-0.005348591694199268,0.003527145194272564,0.012781503291217229
2020-01-07,-0.0009925579584398804,-0.001749472099707384,-0.003072192618348309,-0.009049830586907184,0.0032231383954302996,0.006851280623417593,0.0035692183565126895,0.0040856123083622305,-0.0028071750845948405,0.008796116292955859
2020-01-08,-0.011148981016752615,0.003019187381575016,0.00034064544025114006,-0.05053810433605316,-0.00387033975832015,-0.004284307390477361,-0.009203710678121977,-0.0036040681361374045,0.004890473485641129,0.02539986947862029
2020-01-09,0.001951553264217669,0.002565329466327734,0.004500487725375279,-0.0008391245978369541,-0.0037298266820401005,-0.0006553615596449535,-0.0036667071971181846,0.009352875666277977,0.006633214116906491,-0.008574496930833885
2020-01-10,-0.002999988572223087,0.00199237937656014,-8.22568108935176e-05,-0.008769035073961774,-0.0001889169480695333,-0.0026699841210056615,0.0037308990396736773,0.00435627948074699,-0.0028592624875049015,-0.017920648786890377
2020-01-13,0.0068912745696301835,0.00022201264084988973,2.0580149515539533e-05,-0.016393793756152603,0.0005000532657698783,-0.0018802666066746717,-0.00585981619083129,0.0005386159664386566,0.006951994045933256,0.012523986891965676
2020-01-14,-0.0002462883447701306,-0.000750369138584654,-0.0025104710123299416,0.0025792759447617526,0.00171342886823665,-0.004412712315111154,-0.003882494785876494,0.003880481788042765,-0.0015156808368957204,-0.01636702685585002
2020-01-15,-0.00034080898392652826,0.0007580333064285996,-0.003746622463418917,-0.007238883138090941,-0.0004341866069445138,0.002640040368589028,0.006269176242541576,-0.0012554288981753117,0.0018684502436879626,-0.016639303381184852
2020-01-16,0.0016290264549777352,-0.0021070278733495225,-0.0034908253889661895,0.012206789124634515,0.0020736147906197213,0.0014335081333197435,-0.001999275510573253,0.0002640152385876757,0.008331747422232019,0.011676545030639715
2020-01-17,-0.0009838861288416607,7.6708666146598e-05,0.0012236913256089175,0.00034171292881695064,-0.001294140833420409,0.002873262245371665,0.006306764371860662,0.002653845621878824,0.003854723247485144,0.014815058650713676
2020-01-20,-0.0027876191793892767,0.0018848724788180355,0.003445256700094608,0.0,-0.004046570453323238,-0.005478171672472006,0.0,4.535638712704082e-05,0.0,0.0
2020-01-21,-0.0007841469295213564,-0.0013941311328414148,0.00017555853450998982,-0.003422329848017347,0.00021079095030663436,-0.00012996546218214697,-0.0015408479920918832,-6.356876723192315e-05,-0.002655500369585384,-0.03717482813135131
2020-01-22,-0.004298849143352155,0.002151700396236839,0.00043365504710355074,-0.02780850809264395,-0.0010204176837492315,0.0032566880143503835,-0.0007069933514569245,-0.0024081999387682027,0.00028903429668107475,0.0
